,,,,,,,,,,,,,,Buy,,,,,,,,,,,,,Sell,,,,,,,,,,,
,nifty_buy1.3,nifty_buy1.5,nifty_buy1.7,nifty_buy3.3,nifty_buy3.5,nifty_buy3.7,nifty_buy5.3,nifty_buy5.5,nifty_buy5.7,nifty1,nifty3,nifty5,Close, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5,, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5
84,0,0,1,0,0,1,0,1,1,1,1,1,11811.15,0,0,-0.021,0,0,-0.026,0,-0.022,-0.022,-0.021,-0.026,0,,0.022,0.022,0,0.027,0.027,0,0.022,0,0,,,
85,1,1,0,1,1,0,1,1,0,1,1,1,11558.6,0,0,0,0.002,0.002,0,0.003,0.003,0,0,0.002,0,,0,0,0,0,0,-0.002,0,0,-0.003,,,
86,0,0,1,0,0,1,0,1,1,1,1,1,11555.9,0,0,-0.005,0,0,0,0,0.009,0.009,-0.005,0,0,,0.005,0.005,0,0,0,0,-0.009,0,0,,,
87,0,1,0,0,1,1,0,1,1,1,1,1,11498.9,0,0.007,0,0,0.008,0.008,0,0.016,0.016,0.007,0.008,0,,-0.007,0,-0.007,-0.008,0,0,-0.016,0,0,,,
88,0,1,0,0,1,1,0,1,1,1,1,1,11582.9,0,-0.003,0,0,0.007,0.007,0,0.001,0.001,-0.003,0.007,0,,0.003,0,0.003,-0.007,0,0,-0.001,0,0,,,
89,1,0,0,1,0,0,1,1,1,1,1,1,11552.5,0.003,0,0,0.012,0,0,-0.012,-0.012,-0.012,0.003,0.012,0,,0,-0.003,-0.003,0,-0.012,-0.012,0,0,0,,,
90,0,1,0,0,1,0,1,1,0,1,1,1,11588.35,0,0.006,0,0,0.001,0,-0.021,-0.021,0,0.006,0.001,0,,-0.006,0,-0.006,-0.001,0,-0.001,0,0,0.021,,,
91,1,1,0,1,1,0,1,1,0,1,1,1,11662.6,0.002,0.002,0,-0.021,-0.021,0,-0.028,-0.028,0,0.002,-0.021,0,,0,0,-0.002,0,0,0.021,0,0,0.029,,,
92,1,1,0,1,1,0,1,1,1,1,1,1,11687.5,-0.008,-0.008,0,-0.029,-0.029,0,-0.036,-0.036,-0.036,-0.008,-0.029,0,,0,0,0.008,0,0,0.03,0,0,0,,,
93,0,0,1,0,1,1,0,1,1,1,1,1,11596.9,0,0,-0.015,0,-0.023,-0.023,0,-0.03,-0.03,-0.015,-0.023,0,,0.016,0.016,0,0.023,0,0,0.031,0,0,,,
94,1,0,1,1,0,1,1,0,1,1,1,1,11419.25,-0.006,0,-0.006,-0.013,0,-0.013,-0.012,0,-0.012,-0.006,-0.013,0,,0,0.006,0,0,0.013,0,0,0.012,0,,,
95,1,0,1,1,0,1,1,0,1,1,1,1,11346.2,-0.001,0,-0.001,-0.008,0,-0.008,-0.014,0,-0.014,-0.001,-0.008,0,,0,0.001,0,0,0.008,0,0,0.014,0,,,
96,1,0,0,1,0,1,1,1,0,1,1,1,11331.05,-0.005,0,0,-0.004,0,-0.004,-0.022,-0.022,0,-0.005,-0.004,0,,0,0.005,0.005,0,0.004,0,0,0,0.022,,,
97,0,1,1,0,1,1,0,1,0,1,1,1,11271.3,0,-0.002,-0.002,0,-0.007,-0.007,0,-0.014,0,-0.002,-0.007,0,,0.002,0,0,0.007,0,0,0.014,0,0.014,,,
98,0,1,0,0,1,0,0,1,0,1,1,1,11252.15,0,0.003,0,0,-0.015,0,0,-0.024,0,0.003,-0.015,0,,-0.003,0,-0.003,0.015,0,0.015,0.025,0,0.025,,,
99,0,1,0,0,1,0,0,1,0,1,1,1,11284.3,0,-0.008,0,0,-0.015,0,0,-0.025,0,-0.008,-0.015,0,,0.008,0,0.008,0.015,0,0.015,0.026,0,0.026,,,
100,1,0,0,1,0,0,1,0,0,1,1,1,11189.2,-0.009,0,0,-0.019,0,0,-0.029,0,0,-0.009,-0.019,0,,0,0.009,0.009,0,0.019,0.019,0,0.03,0.03,,,
101,1,0,1,1,0,1,1,0,1,1,1,1,11085.4,0.003,0,0.003,-0.008,0,-0.008,-0.012,0,-0.012,0.003,-0.008,0,,0,-0.003,0,0,0.008,0,0,0.013,0,,,
102,1,0,1,1,0,1,1,0,1,1,1,1,11118,-0.012,0,-0.012,-0.023,0,-0.023,-0.024,0,-0.024,-0.012,-0.023,0,,0,0.013,0,0,0.024,0,0,0.024,0,,,
